word,phonetic,partOfSpeech,chinese,grade,semester,unit,page
matter,/ˈmætə(r)/,n.,问题；事情,8,下册,1,1
What's the matter?,/wɒts ðə ˈmætə(r)/,phrase,怎么了？出什么事了？,8,下册,1,1
sore,/sɔː(r)/,adj.,疼痛的；酸痛的,8,下册,1,1
have a cold,/hæv ə kəʊld/,phrase,感冒,8,下册,1,1
stomachache,/ˈstʌməkeɪk/,n.,胃痛；腹痛,8,下册,1,1
have a stomachache,/hæv ə ˈstʌməkeɪk/,phrase,胃痛,8,下册,1,1
foot,/fʊt/,n.,脚；足,8,下册,1,1
neck,/nek/,n.,颈；脖子,8,下册,1,1
stomach,/ˈstʌmək/,n.,胃；腹部,8,下册,1,1
throat,/θrəʊt/,n.,咽喉；喉咙,8,下册,1,1
fever,/ˈfiːvə(r)/,n.,发烧,8,下册,1,2
lie,/laɪ/,v.,躺；平躺,8,下册,1,2
lie down,/laɪ daʊn/,phrase,躺下,8,下册,1,2
rest,/rest/,v.&n.,放松；休息,8,下册,1,2
cough,/kɒf/,n.&v.,咳嗽,8,下册,1,2
X-ray,/ˈeks reɪ/,n.,X射线；X光,8,下册,1,2
toothache,/ˈtuːθeɪk/,n.,牙痛,8,下册,1,2
take one's temperature,/teɪk wʌnz ˈtemprətʃə(r)/,phrase,量体温,8,下册,1,2
headache,/ˈhedeɪk/,n.,头痛,8,下册,1,2
have a fever,/hæv ə ˈfiːvə(r)/,phrase,发烧,8,下册,1,2
break,/breɪk/,n.,间歇；休息,8,下册,1,2
take breaks,/teɪk breɪks/,phrase,休息,8,下册,1,2
hurt,/hɜːt/,v.,疼痛；受伤,8,下册,1,2
passenger,/ˈpæsɪndʒə(r)/,n.,乘客；旅客,8,下册,1,3
off,/ɒf/,adv.&prep.,离开；从……去掉；不工作,8,下册,1,3
get off,/ɡet ɒf/,phrase,下车,8,下册,1,3
to one's surprise,/tuː wʌnz səˈpraɪz/,phrase,使……惊讶的是；出乎……的意料,8,下册,1,3
onto,/ˈɒntu/,prep.,向；朝,8,下册,1,3
trouble,/ˈtrʌbl/,n.,问题；苦恼,8,下册,1,3
hit,/hɪt/,v.,击；打,8,下册,1,3
right away,/raɪt əˈweɪ/,phrase,立即；马上,8,下册,1,3
get into,/ɡet ˈɪntuː/,phrase,陷入；参与,8,下册,1,3
herself,/hɜːˈself/,pron.,她自己,8,下册,1,4
bandage,/ˈbændɪdʒ/,n.,绷带,8,下册,1,5
press,/pres/,v.,压；挤；按,8,下册,1,5
sick,/sɪk/,adj.,生病的；有病的,8,下册,1,5
knee,/niː/,n.,膝；膝盖,8,下册,1,5
nosebleed,/ˈnəʊzbliːd/,n.,鼻出血,8,下册,1,5
breathe,/briːð/,v.,呼吸,8,下册,1,6
sunburned,/ˈsʌnbɜːnd/,adj.,晒伤的,8,下册,1,6
ourselves,/aʊəˈselvz/,pron.,我们自己,8,下册,1,6
climber,/ˈklaɪmə(r)/,n.,登山者；攀登者,8,下册,1,6
be used to,/bi juːzd tuː/,phrase,习惯于……；适应于……,8,下册,1,6
risk,/rɪsk/,n.&v.,危险；风险；冒险,8,下册,1,6
take risks,/teɪk rɪsks/,phrase,冒险,8,下册,1,6
accident,/ˈæksɪdənt/,n.,事故；意外遭遇,8,下册,1,6
situation,/ˌsɪtʃuˈeɪʃn/,n.,情况；状况,8,下册,1,6
kilo,/ˈkiːləʊ/,n.,千克；公斤,8,下册,1,6
rock,/rɒk/,n.,岩石,8,下册,1,6
run out (of),/rʌn aʊt/,phrase,用尽；耗尽,8,下册,1,6
knife,/naɪf/,n.,刀,8,下册,1,6
cut off,/kʌt ɒf/,phrase,切除,8,下册,1,6
blood,/blʌd/,n.,血,8,下册,1,6
mean,/miːn/,v.,意思是；打算；意欲,8,下册,1,6
get out of,/ɡet aʊt əv/,phrase,离开；从……出来,8,下册,1,6
importance,/ɪmˈpɔːtns/,n.,重要性；重要,8,下册,1,6
decision,/dɪˈsɪʒn/,n.,决定；抉择,8,下册,1,6
control,/kənˈtrəʊl/,n.&v.,限制；约束；管理,8,下册,1,6
be in control of,/bi ɪn kənˈtrəʊl əv/,phrase,掌管；管理,8,下册,1,6
spirit,/ˈspɪrɪt/,n.,勇气；意志,8,下册,1,6
death,/deθ/,n.,死；死亡,8,下册,1,6
give up,/ɡɪv ʌp/,phrase,放弃,8,下册,1,7
nurse,/nɜːs/,n.,护士,8,下册,1,8
clean up,/kliːn ʌp/,phrase,打扫；清洁,8,下册,2,9
cheer,/tʃɪə(r)/,v.,欢呼；喝彩,8,下册,2,9
cheer up,/tʃɪə(r) ʌp/,phrase,变得更高兴；振奋起来,8,下册,2,9
give out,/ɡɪv aʊt/,phrase,分发；散发,8,下册,2,9
volunteer,/ˌvɒlənˈtɪə(r)/,v.,义务做；自愿做,8,下册,2,9
come up with,/kʌm ʌp wɪð/,phrase,想出；提出,8,下册,2,10
put off,/pʊt ɒf/,phrase,推迟,8,下册,2,10
sign,/saɪn/,n.,标志；信号,8,下册,2,10
notice,/ˈnəʊtɪs/,n.,通知；通告；注意,8,下册,2,10
hand out,/hænd aʊt/,phrase,分发,8,下册,2,10
call up,/kɔːl ʌp/,phrase,打电话给；征召,8,下册,2,10
used to,/juːzd tuː/,phrase,曾经……；过去……,8,下册,2,10
lonely,/ˈləʊnli/,adj.,孤独的；寂寞的,8,下册,2,10
care for,/keə(r) fɔː(r)/,phrase,照顾；非常喜欢,8,下册,2,10
several,/ˈsevrəl/,pron.,几个；数个；一些,8,下册,2,11
strong,/strɒŋ/,adj.,强烈的；强壮的,8,下册,2,11
feeling,/ˈfiːlɪŋ/,n.,感觉；感触,8,下册,2,11
satisfaction,/ˌsætɪsˈfækʃn/,n.,满足；满意,8,下册,2,11
joy,/dʒɔɪ/,n.,高兴；愉快,8,下册,2,11
owner,/ˈəʊnə(r)/,n.,物主；主人,8,下册,2,11
try out,/traɪ aʊt/,phrase,参加……选拔；试用,8,下册,2,11
journey,/ˈdʒɜːni/,n.,旅行；行程,8,下册,2,11
raise,/reɪz/,v.,募集；征集,8,下册,2,12
midnight,/ˈmɪdnaɪt/,n.,午夜；子夜,8,下册,2,12
alone,/əˈləʊn/,adv.,独自；单独,8,下册,2,12
repair,/rɪˈpeə(r)/,v.,修理；修补,8,下册,2,13
fix,/fɪks/,v.,修理；安装,8,下册,2,13
fix up,/fɪks ʌp/,phrase,修理；装饰,8,下册,2,13
give away,/ɡɪv əˈweɪ/,phrase,赠送；捐赠,8,下册,2,13
take after,/teɪk ˈɑːftə(r)/,phrase,像；似,8,下册,2,13
broken,/ˈbrəʊkən/,adj.,破损的；残缺的,8,下册,2,13
wheel,/wiːl/,n.,车轮；轮子,8,下册,2,13
letter,/ˈletə(r)/,n.,信；函,8,下册,2,14
Miss,/mɪs/,n.,女士；小姐,8,下册,2,14
set up,/set ʌp/,phrase,建起；设立,8,下册,2,14
disabled,/dɪsˈeɪbld/,adj.,丧失能力的；有残疾的,8,下册,2,14
make a difference,/meɪk ə ˈdɪfrəns/,phrase,影响；有作用,8,下册,2,14
blind,/blaɪnd/,adj.,瞎的；失明的,8,下册,2,14
deaf,/def/,adj.,聋的,8,下册,2,14
imagine,/ɪˈmædʒɪn/,v.,想象；设想,8,下册,2,14
difficulty,/ˈdɪfɪkəlti/,n.,困难；难题,8,下册,2,14
open,/ˈəʊpən/,v.,开；打开,8,下册,2,14
door,/dɔː(r)/,n.,门,8,下册,2,14
carry,/ˈkæri/,v.,拿；提；扛,8,下册,2,14
train,/treɪn/,v.,训练；培训,8,下册,2,14
excited,/ɪkˈsaɪtɪd/,adj.,激动的；兴奋的,8,下册,2,14
training,/ˈtreɪnɪŋ/,n.,训练；培训,8,下册,2,14
kindness,/ˈkaɪndnəs/,n.,仁慈；善良,8,下册,2,14
clever,/ˈklevə(r)/,adj.,聪明的；聪颖的,8,下册,2,14
understand,/ˌʌndəˈstænd/,v.,理解；领会,8,下册,2,14
change,/tʃeɪndʒ/,v.&n.,变化；改变,8,下册,2,14
interest,/ˈɪntrəst/,n.,兴趣；关注,8,下册,2,16
rubbish,/ˈrʌbɪʃ/,n.,垃圾；废弃物,8,下册,3,17
take out the rubbish,/teɪk aʊt ðə ˈrʌbɪʃ/,phrase,倒垃圾,8,下册,3,17
fold,/fəʊld/,v.,折叠；对折,8,下册,3,17
sweep,/swiːp/,v.,扫；打扫,8,下册,3,17
floor,/flɔː(r)/,n.,地板,8,下册,3,17
mess,/mes/,n.,杂乱；不整洁,8,下册,3,18
throw,/θrəʊ/,v.,扔；掷,8,下册,3,19
all the time,/ɔːl ðə taɪm/,phrase,频繁；反复,8,下册,3,19
neither,/ˈnaɪðə(r)/,adv.,也不,8,下册,3,19
shirt,/ʃɜːt/,n.,衬衫,8,下册,3,19
as soon as,/əz suːn əz/,phrase,一……就……,8,下册,3,19
pass,/pɑːs/,v.,给；递；走过；通过,8,下册,3,20
tool,/tuːl/,n.,工具,8,下册,3,20
borrow,/ˈbɒrəʊ/,v.,借；借用,8,下册,3,20
lend,/lend/,v.,借给；借出,8,下册,3,20
finger,/ˈfɪŋɡə(r)/,n.,手指,8,下册,3,20
hate,/heɪt/,v.,厌恶；讨厌,8,下册,3,20
chore,/tʃɔː(r)/,n.,杂务；乏味无聊的工作,8,下册,3,20
while,/waɪl/,conj.,与……同时；当……的时候；而；然而,8,下册,3,20
snack,/snæk/,n.,点心；小吃；快餐,8,下册,3,21
stress,/stres/,n.,精神压力；心理负担,8,下册,3,22
waste,/weɪst/,n.,浪费；垃圾,8,下册,3,22
in order to,/ɪn ˈɔːdə(r) tuː/,phrase,目的是；为了,8,下册,3,22
provide,/prəˈvaɪd/,v.,提供；供应,8,下册,3,22
anyway,/ˈeniweɪ/,adv.,而且；加之,8,下册,3,22
depend,/dɪˈpend/,v.,依靠；信赖,8,下册,3,22
depend on,/dɪˈpend ɒn/,phrase,依靠；信赖,8,下册,3,22
develop,/dɪˈveləp/,v.,发展；壮大,8,下册,3,22
independence,/ˌɪndɪˈpendəns/,n.,独立,8,下册,3,22
fairness,/ˈfeənəs/,n.,公正性；合理性,8,下册,3,22
since,/sɪns/,conj.,因为；既然,8,下册,3,22
neighbor,/ˈneɪbə(r)/,n.,邻居,8,下册,3,22
take care of,/teɪk keə(r) əv/,phrase,照顾；处理,8,下册,3,22
ill,/ɪl/,adj.,有病；不舒服,8,下册,3,22
